lambda,Chlorophyll_a,Divinylchlorophyll_a,Chlorophyll_b,Divinylchlorophyll_b,Chlorophyll_c12,Fucoxanthin,19_BF,19_HF,Peri,Diad,Zeaxanthin,Alloxanthin,beta_Carotene,alpha_Carotene
630,0.0079526,0.0049638,0.00405,0.00365,0.0077,0.00015,-6.00E-05,0.00012,0,0,0,0,0,0
632,0.0078541,0.0049343,0.00458,0.00402,0.00827,0.00011,-9.00E-05,9.00E-05,0,0,0,0,0,0
634,0.0077913,0.004885,0.00534,0.00456,0.0086,0.00011,-0.00015,6.00E-05,0,0,0,0,0,0
636,0.0076429,0.004818,0.00622,0.00528,0.00879,0.00011,-9.00E-05,9.00E-05,0,0,0,0,0,0
638,0.0075273,0.00476,0.00711,0.00613,0.00874,7.00E-05,-0.00015,0.00012,0,0,0,0,0,0
640,0.0073617,0.0046957,0.00809,0.0071,0.00843,0,0,0,0,0,0,0,0,0
642,0.0073018,0.0047022,0.00907,0.00813,0.00794,0,0,0,0,0,0,0,0,0
644,0.0072176,0.0047149,0.01008,0.00915,0.00739,0,0,0,0,0,0,0,0,0
646,0.0073061,0.004798,0.01082,0.01009,0.00657,0,0,0,0,0,0,0,0,0
648,0.0073418,0.0049751,0.01156,0.01086,0.00567,0,0,0,0,0,0,0,0,0
650,0.0076087,0.0052589,0.0118,0.01143,0.00479,0,0,0,0,0,0,0,0,0
652,0.0080311,0.005615,0.01166,0.01183,0.00402,0,0,0,0,0,0,0,0,0
654,0.0086434,0.0061683,0.01129,0.01189,0.00334,0,0,0,0,0,0,0,0,0
656,0.009574,0.006933,0.01068,0.01163,0.00283,0,0,0,0,0,0,0,0,0
658,0.010924,0.0080027,0.01063,0.01112,0.00244,0,0,0,0,0,0,0,0,0
660,0.012798,0.0093835,0.00971,0.01032,0.00208,0,0,0,0,0,0,0,0,0
662,0.015169,0.011132,0.00844,0.00935,0.0018,0,0,0,0,0,0,0,0,0
664,0.018152,0.013288,0.00764,0.00821,0.00156,0,0,0,0,0,0,0,0,0
666,0.021656,0.015671,0.00698,0.00704,0.00136,0,0,0,0,0,0,0,0,0
668,0.025371,0.018056,0.00629,0.00596,0.00131,0,0,0,0,0,0,0,0,0
670,0.02884,0.020176,0.00529,0.00502,0.0012,0,0,0,0,0,0,0,0,0
672,0.031653,0.021652,0.00439,0.00416,0.00119,0,0,0,0,0,0,0,0,0
674,0.033269,0.02226,0.00407,0.00342,0.00111,0,0,0,0,0,0,0,0,0
676,0.033413,0.021863,0.00386,0.00277,0.00114,0,0,0,0,0,0,0,0,0
678,0.032053,0.02051,0.00325,0.00225,0.00101,0,0,0,0,0,0,0,0,0
680,0.02929,0.018358,0.00272,0.0018,0.00087,0,0,0,0,0,0,0,0,0
682,0.025616,0.015731,0.00262,0.00143,0.00076,0,0,0,0,0,0,0,0,0
684,0.021423,0.012945,0.00233,0.00114,0.00072,0,0,0,0,0,0,0,0,0
686,0.017241,0.01025,0.00196,0.00091,0.00067,0,0,0,0,0,0,0,0,0
688,0.01341,0.0078379,0.00198,0.00074,0.00061,0,0,0,0,0,0,0,0,0
690,0.010092,0.0058766,0.00212,0.00063,0.00058,0,0,0,0,0,0,0,0,0
692,0.0074088,0.0043186,0.00204,0.00051,0.00051,0,0,0,0,0,0,0,0,0
694,0.0053508,0.0031352,0.00204,0.00043,0.00047,0,0,0,0,0,0,0,0,0
696,0.003825,0.0022356,0.00198,0.00037,0.00041,0,0,0,0,0,0,0,0,0
698,0.0027332,0.0015848,0.00188,0.00029,0.00037,0,0,0,0,0,0,0,0,0
700,0.0019311,0.0011596,0.00214,0,0.00041,0,0,0,0,0,0,0,0,0
